SRR5291780_1.fastq	678_S678_L001_R1_001.fastq
SRR5291780_2.fastq	678_S678_L001_R2_001.fastq
SRR5291779_1.fastq	679_S679_L001_R1_001.fastq
SRR5291779_2.fastq	679_S679_L001_R2_001.fastq
SRR5291778_1.fastq	680_S680_L001_R1_001.fastq
SRR5291778_2.fastq	680_S680_L001_R2_001.fastq
SRR5291777_1.fastq	681_S681_L001_R1_001.fastq
SRR5291777_2.fastq	681_S681_L001_R2_001.fastq
SRR5291776_1.fastq	682_S682_L001_R1_001.fastq
SRR5291776_2.fastq	682_S682_L001_R2_001.fastq
SRR5291775_1.fastq	683_S683_L001_R1_001.fastq
SRR5291775_2.fastq	683_S683_L001_R2_001.fastq
SRR5291774_1.fastq	684_S684_L001_R1_001.fastq
SRR5291774_2.fastq	684_S684_L001_R2_001.fastq
SRR5291773_1.fastq	685_S685_L001_R1_001.fastq
SRR5291773_2.fastq	685_S685_L001_R2_001.fastq
SRR5291772_1.fastq	686_S686_L001_R1_001.fastq
SRR5291772_2.fastq	686_S686_L001_R2_001.fastq
SRR5291771_1.fastq	687_S687_L001_R1_001.fastq
SRR5291771_2.fastq	687_S687_L001_R2_001.fastq
SRR5291770_1.fastq	688_S688_L001_R1_001.fastq
SRR5291770_2.fastq	688_S688_L001_R2_001.fastq
SRR5291769_1.fastq	689_S689_L001_R1_001.fastq
SRR5291769_2.fastq	689_S689_L001_R2_001.fastq
SRR5291768_1.fastq	690_S690_L001_R1_001.fastq
SRR5291768_2.fastq	690_S690_L001_R2_001.fastq
SRR5291767_1.fastq	691_S691_L001_R1_001.fastq
SRR5291767_2.fastq	691_S691_L001_R2_001.fastq
SRR5291766_1.fastq	692_S692_L001_R1_001.fastq
SRR5291766_2.fastq	692_S692_L001_R2_001.fastq
SRR5291765_1.fastq	693_S693_L001_R1_001.fastq
SRR5291765_2.fastq	693_S693_L001_R2_001.fastq
SRR5291764_1.fastq	694_S694_L001_R1_001.fastq
SRR5291764_2.fastq	694_S694_L001_R2_001.fastq
SRR5291763_1.fastq	696_S696_L001_R1_001.fastq
SRR5291763_2.fastq	696_S696_L001_R2_001.fastq
SRR5291762_1.fastq	697_S697_L001_R1_001.fastq
SRR5291762_2.fastq	697_S697_L001_R2_001.fastq
SRR5291761_1.fastq	698_S698_L001_R1_001.fastq
SRR5291761_2.fastq	698_S698_L001_R2_001.fastq
SRR5291760_1.fastq	699_S699_L001_R1_001.fastq
SRR5291760_2.fastq	699_S699_L001_R2_001.fastq
SRR5291759_1.fastq	700_S700_L001_R1_001.fastq
SRR5291759_2.fastq	700_S700_L001_R2_001.fastq
SRR5291758_1.fastq	701_S701_L001_R1_001.fastq
SRR5291758_2.fastq	701_S701_L001_R2_001.fastq
SRR5291757_1.fastq	702_S702_L001_R1_001.fastq
SRR5291757_2.fastq	702_S702_L001_R2_001.fastq
SRR5291756_1.fastq	703_S703_L001_R1_001.fastq
SRR5291756_2.fastq	703_S703_L001_R2_001.fastq
SRR5291755_1.fastq	704_S704_L001_R1_001.fastq
SRR5291755_2.fastq	704_S704_L001_R2_001.fastq
SRR5291754_1.fastq	705_S705_L001_R1_001.fastq
SRR5291754_2.fastq	705_S705_L001_R2_001.fastq
