#SampleID	DNAPlate	Tube	AnimalID	Sex	Diet	Year	DMI_total_kg	days_fed	ADFI	gain_total	ADG	FE	perANS	perHHS	perARS	perSHS	perBMS	perBRS	perBNS	perSGS	perBVS	perCHS	perCAS	perGVS	perLMS	perMAS	perSAS	perSMS	perHH	perAN	perSM	perCH	perM2	perM3	perRS	perRO	Selected	Group
S543	2	159	133122	Steer	Finishing	2013	759.1	78	9.73	148.1	1.9	0.195	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	No	NA
S544	2	160	133362	Steer	Finishing	2013	804.8	78	10.32	141.4	1.81	0.176	0	0.25	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	No	NA
S545	2	161	133395	Steer	Finishing	2013	702.9	78	9.01	150.6	1.93	0.214	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	No	NA
S546	2	162	133651	Steer	Finishing	2013	648	78	8.31	148.4	1.9	0.229	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	No	NA
S548	2	164	133025	Steer	Finishing	2013	791.6	78	10.15	155.5	1.99	0.196	0	0	0.9375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	No	NA
S550	2	166	133098	Steer	Finishing	2013	665.7	78	8.53	154.4	1.98	0.232	0	0	0	0	0	0	0	0	0	0.9375	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	No	NA
S552	2	168	133022	Steer	Finishing	2013	872.3	78	11.18	159.3	2.04	0.183	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	No	NA
S553	2	169	133158	Steer	Finishing	2013	784.7	78	10.06	171.1	2.19	0.218	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	No	NA
S554	2	170	133179	Steer	Finishing	2013	541.9	78	6.95	131.1	1.68	0.242	0	0	0	0	0	0	0	0	0.875	0.03125	0	0.03125	0	0	0	0	0.03125	0	0	0	0	0.03125	0	0	No	NA
S555	2	171	133050	Steer	Finishing	2013	598.1	78	7.67	136.8	1.75	0.229	0	0	0	0	0	0	0	0	0	0	0	0	0.875	0	0	0	0.125	0	0	0	0	0	0	0	No	NA
S556	2	172	133183	Steer	Finishing	2013	559.6	78	7.17	138.5	1.78	0.247	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	No	NA
S557	2	173	133119	Steer	Finishing	2013	740.9	78	9.5	147.1	1.89	0.199	0.5	0	0	0	0	0	0	0	0	0	0.375	0	0	0	0	0	0	0.125	0	0	0	0	0	0	No	NA
S558	2	174	133125	Steer	Finishing	2013	773.4	78	9.92	164.9	2.11	0.213	0	0	0.125	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0.125	0	0	0	0	0	0	0	No	NA
S559	2	175	133214	Steer	Finishing	2013	693.5	78	8.89	135.7	1.74	0.196	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	No	NA
S560	2	176	133417	Steer	Finishing	2013	634	78	8.13	135.9	1.74	0.214	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.625	0	0	0.125	0	0	0	0	0	No	NA
S561	2	177	133107	Steer	Finishing	2013	763.9	78	9.79	153.2	1.96	0.201	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	No	NA
S562	2	178	133110	Steer	Finishing	2013	709.9	78	9.1	170.8	2.19	0.241	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	Yes	BWGH-DMIL
S566	2	182	81526	Heifer	Growing	2008	527.7	84	6.28	40.2	0.48	0.076	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	No	NA
S567	2	183	81483	Heifer	Growing	2008	392.4	84	4.67	5.7	0.07	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	Yes	BWGL-DMIL
